USAF-WBAN
424980-99999
474110-99999
984310-99999
421650-99999
470370-99999
485640-99999
317070-99999
297060-99999
294810-99999
478240-99999
471020-99999
434730-99999
282750-99999
985310-99999
483250-99999
986460-99999
422600-99999
474050-99999
488630-99999
984250-99999
488380-99999
483830-99999
480710-99999
317540-99999
296050-99999
434970-99999
299560-99999
292090-99999
484340-99999
314450-99999
443380-99999
484130-99999
307410-99999
984320-99999
417150-99999
965650-99999
305210-99999
284650-99999
417850-99999
476490-99999
383430-99999
480080-99999
476530-99999
417460-99999
481100-99999
308440-99999
470600-99999
987550-99999
477540-99999
480420-99999
983250-99999
470750-99999
470460-99999
416600-99999
306030-99999
488460-99999
308460-99999
476800-99999
369820-99999
470080-99999
475970-99999
425420-99999
481080-99999
970160-99999
299980-99999
480370-99999
307450-99999
319690-99999
417640-99999
480100-99999
484500-99999
301570-99999
416240-99999
474240-99999
984270-99999
307030-99999
476720-99999
319890-99999
970280-99999
428740-99999
476560-99999
476660-99999
363970-99999
309250-99999
470500-99999
320980-99999
478900-99999
368640-99999
433140-99999
960870-99999
476390-99999
483520-99999
416400-99999
415150-99999
424150-99999
306830-99999
315100-99999
470140-99999
485800-99999
318660-99999
442210-99999
476570-99999
483290-99999
985460-99999
485700-99999
960110-99999
478090-99999
314390-99999
287970-99999
476540-99999
485680-99999
442290-99999
476770-99999
416200-99999
961450-99999
313290-99999
314160-99999
420270-99999
309650-99999
484260-99999
320760-99999
987520-99999
489910-99999
315340-99999
480780-99999
480800-99999
481090-99999
425590-99999
297240-99999
442430-99999
489070-99999
480940-99999
291220-99999
479400-99999
425710-99999
484650-99999
304330-99999
387440-99999
965090-99999
470030-99999
442540-99999
480250-99999
988360-99999
298270-99999
470200-99999
417680-99999
298140-99999
477760-99999
485610-99999
316320-99999
470250-99999
480620-99999
476840-99999
476920-99999
983240-99999
442570-99999
982220-99999
298020-99999
317020-99999
985480-99999
320530-99999
484030-99999
478120-99999
388380-99999
442190-99999
314780-99999
478050-99999
478220-99999
986300-99999
280640-99999
295620-99999
476200-99999
470520-99999
476410-99999
475200-99999
483850-99999
474400-99999
476060-99999
442860-99999
298640-99999
319590-99999
442170-99999
383340-99999
480040-99999
443850-99999
983340-99999
306950-99999
424790-99999
285930-99999
308380-99999
421890-99999
479120-99999
304930-99999
443740-99999
470390-99999
312950-99999
310540-99999
470220-99999
474020-99999
428860-99999
416000-99999
309750-99999
478230-99999
960150-99999
306640-99999
415350-99999
305540-99999
307770-99999
285730-99999
475740-99999
488920-99999
470670-99999
483570-99999
965350-99999
478190-99999
985580-99999
987410-99999
306500-99999
484610-99999
284930-99999
488750-99999
415600-99999
307390-99999
477660-99999
315270-99999
984400-99999
470700-99999
317130-99999
983270-99999
419780-99999
431890-99999
474040-99999
483800-99999
965590-99999
483820-99999
296760-99999
308790-99999
313480-99999
476350-99999
985530-99999
984280-99999
470050-99999
415300-99999
480180-99999
359690-99999
424350-99999
417000-99999
480010-99999
284810-99999
309570-99999
315320-99999
476680-99999
485520-99999
305040-99999
417180-99999
480530-99999
478140-99999
480190-99999
434210-99999
488660-99999
307810-99999
985360-99999
280760-99999
308290-99999
416750-99999
475920-99999
480770-99999
470690-99999
478380-99999
415940-99999
306350-99999
421810-99999
426340-99999
425910-99999
480350-99999
478290-99999
389540-99999
974300-99999
294710-99999
480600-99999
297120-99999
433720-99999
987510-99999
416850-99999
442420-99999
982330-99999
388360-99999
599970-99999
416970-99999
476740-99999
484250-99999
489190-99999
318250-99999
984460-99999
477560-99999
320610-99999
484780-99999
295940-99999
416780-99999
985380-99999
474770-99999
426230-99999
478310-99999
442660-99999
481120-99999
304550-99999
986530-99999
434240-99999
483150-99999
294050-99999
415360-99999
416960-99999
423790-99999
477690-99999
417440-99999
311740-99999
470610-99999
483740-99999
484590-99999
484160-99999
470160-99999
981320-99999
470680-99999
960010-99999
485010-99999
484560-99999
311370-99999
434360-99999
484180-99999
287990-99999
298690-99999
284910-99999
308620-99999
443480-99999
984300-99999
478180-99999
283670-99999
421230-99999
295530-99999
423140-99999
984440-99999
309490-99999
477420-99999
986420-99999
478970-99999
597920-99999
485660-99999
443170-99999
477670-99999
484360-99999
470310-99999
484210-99999
484390-99999
474905-99999
470280-99999
960750-99999
315870-99999
443860-99999
306120-99999
380690-99999
433690-99999
319600-99999
286610-99999
483100-99999
308020-99999
291110-99999
316550-99999
283820-99999
505270-99999
443250-99999
480450-99999
313880-99999
478350-99999
470650-99999
984330-99999
434180-99999
484300-99999
523780-99999
476900-99999
430860-99999
986180-99999
419220-99999
471420-99999
984340-99999
360960-99999
984350-99999
475760-99999
297590-99999
415980-99999
470550-99999
982320-99999
431500-99999
983360-99999
289780-99999
983280-99999
982230-99999
470350-99999
965250-99999
417250-99999
484600-99999
311680-99999
470580-99999
296530-99999
476400-99999
970080-99999
368210-99999
470410-99999
489160-99999
317250-99999
381960-99999
476713-99999
306270-99999
484050-99999
485500-99999
