USAF-WBAN
425230-99999
420780-99999
429730-99999
964770-99999
428300-99999
432870-99999
488100-99999
368890-99999
387130-99999
477460-99999
420990-99999
433470-99999
429430-99999
361260-99999
477620-99999
430830-99999
444040-99999
478910-99999
425150-99999
477840-99999
474180-99999
428510-99999
986480-99999
292740-99999
965050-99999
426790-99999
307310-99999
475900-99999
295870-99999
431930-99999
363070-99999
353630-99999
432910-99999
387340-99999
423870-99999
474170-99999
423980-99999
430810-99999
315210-99999
409300-99999
431570-99999
362780-99999
433010-99999
409680-99999
317700-99999
481030-99999
489470-99999
476150-99999
478070-99999
433590-99999
471370-99999
489350-99999
360150-99999
432290-99999
319610-99999
431610-99999
424200-99999
479110-99999
486020-99999
960090-99999
288630-99999
421370-99999
294640-99999
385990-99999
298920-99999
433600-99999
474330-99999
471610-43240
486500-99999
417490-99999
489480-99999
432200-99999
409480-99999
428750-99999
475850-99999
476620-99999
295780-99999
388440-99999
360120-99999
431090-99999
477550-99999
368940-99999
428380-99999
415080-99999
433820-99999
304050-99999
474280-99999
389440-99999
476790-43319
478950-99999
478000-99999
301980-99999
367770-99999
476170-99999
475820-99999
355630-99999
425770-99999
433180-99999
476420-43313
387190-99999
420560-99999
427630-99999
427670-99999
368460-99999
296640-99999
368370-99999
421700-99999
430170-99999
442160-99999
368720-99999
425270-99999
480740-99999
427050-99999
489250-99999
423670-99999
477410-99999
985430-99999
383010-99999
478920-99999
478980-99999
425000-99999
409110-99999
486250-99999
432210-99999
470880-99999
305260-99999
480330-99999
387150-99999
369050-99999
444780-99999
290590-99999
444620-99999
315610-99999
380990-99999
422550-99999
433670-99999
484630-99999
360910-99999
423430-99999
477390-99999
294770-99999
430870-99999
298660-99999
471110-99999
360780-99999
478930-99999
283660-99999
382290-99999
489125-99999
471340-99999
484076-99999
426180-99999
358950-99999
476240-99999
424410-99999
310160-99999
319741-99999
471740-99999
293740-99999
477500-99999
314890-99999
368170-99999
433420-99999
431360-99999
409540-99999
444160-99999
303370-99999
312850-99999
477470-99999
424630-99999
476260-99999
429690-99999
474060-99999
431960-99999
288730-99999
474090-99999
489520-99999
308220-99999
476610-43321
484020-99999
388510-99999
423990-99999
364390-99999
430090-99999
389570-99999
471085-99999
480930-99999
484315-99999
362290-99999
426030-99999
300280-99999
485630-99999
432710-99999
471870-99999
489380-99999
382030-99999
426930-99999
306360-99999
471040-99999
471105-99999
476630-99999
484570-99999
362590-99999
301270-99999
488230-99999
474120-99999
424040-99999
431970-99999
489550-99999
424140-99999
430970-99999
426610-99999
476050-99999
367360-99999
425400-99999
484080-99999
421030-99999
974060-99999
422200-99999
388690-99999
432960-99999
361040-99999
318320-99999
475810-99999
293790-99999
432750-99999
311020-99999
432850-99999
484540-99999
475700-99999
381910-99999
421470-99999
477610-99999
425030-99999
424670-99999
299060-99999
476120-99999
286870-99999
429460-99999
429310-99999
471086-99999
430490-99999
489280-99999
471074-99999
444380-99999
428600-99999
471670-99999
309670-99999
985500-99999
369530-99999
471390-99999
423950-99999
430010-99999
486000-99999
360640-99999
364980-99999
368970-99999
307140-99999
965290-99999
984260-41231
476380-99999
432780-99999
444770-99999
426190-99999
315380-99999
479710-42402
476040-99999
363940-99999
422730-99999
367860-99999
384520-99999
433170-99999
476780-99999
433460-99999
352840-99999
444340-99999
474300-99999
430530-99999
433110-99999
488310-99999
961470-99999
476220-99999
315830-99999
382010-99999
475750-99999
367290-99999
480200-99999
432890-99999
383380-99999
475120-99999
422620-99999
478130-99999
367730-99999
431770-99999
290230-99999
306370-99999
475950-99999
489300-99999
914080-40310
426710-99999
471034-99999
316830-99999
286760-99999
310050-99999
431600-99999
421390-99999
477590-99999
310260-99999
310110-99999
986440-99999
475870-99999
389330-99999
485200-99999
474210-99999
296620-99999
364210-99999
295760-99999
385670-99999
450440-99999
467700-99999
480990-99999
368190-99999
480640-99999
478170-99999
476180-99999
443020-99999
387050-99999
479310-42204
475840-99999
303280-99999
320100-99999
467430-99999
429330-99999
435330-99999
428830-99999
476370-99999
981330-99999
430690-99999
480310-99999
988510-41231
353610-99999
424070-99999
476510-99999
442750-99999
480950-99999
365010-99999
431580-99999
427140-99999
425160-99999
444240-99999
424230-99999
363920-99999
426310-99999
314420-99999
444540-99999
478990-99999
388470-99999
308150-99999
422490-99999
486740-99999
985260-99999
415730-99999
318450-99999
478724-99999
428050-99999
360920-99999
433090-99999
478270-99999
434220-99999
366190-99999
433520-99999
476100-99999
320990-99999
355760-99999
352830-99999
431940-99999
431490-99999
432250-99999
300740-99999
364180-99999
294560-99999
427110-99999
429700-99999
432770-99999
489660-99999
428070-99999
474260-99999
431110-99999
293930-99999
366650-99999
409900-99999
428550-99999
476360-99999
386155-99999
444740-99999
293630-99999
433250-99999
420260-99999
424830-99999
486030-99999
431210-99999
427270-99999
367960-99999
287640-99999
281650-99999
382230-99999
310410-99999
289930-99999
960910-99999
429250-99999
471270-43216
431810-99999
478430-99999
310870-99999
291490-99999
292030-99999
489270-99999
297720-99999
388560-99999
433630-99999
476320-99999
477700-99999
484075-99999
431250-99999
471250-99999
480870-99999
488250-99999
368060-99999
317330-99999
476820-99999
479455-99999
434130-99999
389470-99999
431050-99999
489570-99999
475800-44402
360830-99999
476310-99999
433770-99999
477800-99999
428340-99999
477680-99999
432260-99999
471084-99999
479425-99999
427400-99999
382070-99999
477770-99999
423910-99999
489260-99999
430420-99999
300890-99999
433030-99999
479170-99999
483565-99999
476020-99999
434660-99999
443410-99999
421430-99999
480750-99999
478123-99999
477650-99999
476290-99999
299740-99999
301730-99999
434670-99999
430290-99999
427520-99999
433350-99999
471790-99999
475730-43318
420830-99999
293670-99999
483870-99999
431330-99999
432050-99999
485576-99999
409130-99999
474230-99999
368850-99999
420650-99999
433760-99999
987460-99999
477720-99999
442240-99999
471410-43219
477440-99999
388750-99999
427710-99999
383160-99999
368430-99999
467403-99999
471094-99999
435770-99999
428030-99999
433150-99999
420620-99999
481010-99999
360900-99999
427310-99999
443290-99999
433300-99999
433390-99999
425390-99999
428710-99999
280970-99999
489170-99999
304390-99999
286660-99999
471223-99999
450320-99999
488020-99999
422990-99999
311520-99999
475880-99999
474010-99999
387250-99999
423970-99999
290680-99999
474350-99999
913170-99999
577120-99999
297890-99999
480570-99999
422950-99999
422370-99999
293320-99999
429370-99999
422710-99999
368910-99999
471070-99999
421140-99999
431690-99999
416300-99999
471240-99999
421040-99999
476000-99999
310620-99999
477780-99999
489460-99999
471315-99999
294670-99999
477400-99999
430250-99999
427440-99999
444490-99999
425870-99999
471205-99999
387180-99999
388780-99999
409450-99999
356990-99999
423090-99999
481070-99999
292760-99999
297520-99999
442870-99999
474070-99999
486470-99999
476070-99999
474130-99999
298760-99999
476700-99999
475980-99999
480960-99999
471030-99999
425880-99999
366430-99999
427090-99999
424030-99999
361030-99999
368700-99999
476160-99999
421050-99999
471850-43263
368390-99999
